folder,file,size
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070045/1,1_G4KNRK070045_UpperZone1[ALWAYS]_Step1_[230602]_OK.jpg,742591
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070045/1,1_G4KNRK070045_LowerZone1[ALWAYS]_Step3_[230602]_OK.jpg,356227
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069876/1,1_G4KNRK069876_UpperZone2[ALWAYS]_Step2_[203047]_OK.jpg,690840
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069876/1,1_G4KNRK069876_UpperZone1[ALWAYS]_Step1_[203047]_OK.jpg,741581
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069876/1,1_G4KNRK069876_LowerZone1[ALWAYS]_Step3_[203047]_OK.jpg,363992
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069876/1,1_G4KNRK069876_LowerZone2[ALWAYS]_Step4_[203047]_OK.jpg,352097
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069877/1,1_G4KNRK069877_UpperZone1[ALWAYS]_Step1_[203135]_OK.jpg,746272
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069877/1,1_G4KNRK069877_UpperZone2[ALWAYS]_Step2_[203135]_OK.jpg,699668
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069877/1,1_G4KNRK069877_LowerZone2[ALWAYS]_Step4_[203135]_OK.jpg,348089
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069877/1,1_G4KNRK069877_LowerZone1[ALWAYS]_Step3_[203135]_OK.jpg,362173
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069997/1,1_G4KNRK069997_LowerZone2[ALWAYS]_Step4_[223013]_OK.jpg,348633
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069997/1,1_G4KNRK069997_UpperZone2[ALWAYS]_Step2_[223013]_OK.jpg,675669
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069997/1,1_G4KNRK069997_UpperZone1[ALWAYS]_Step1_[223013]_OK.jpg,711095
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069997/1,1_G4KNRK069997_LowerZone1[ALWAYS]_Step3_[223013]_OK.jpg,368984
